sent_id,MSA,Cairo,Dubai,Riyadh,Beirut,Casablanca
17,الجملة رقم 17 باللغة العربية الفصحى,الجملة رقم 17 باللهجة المصرية,الجملة رقم 17 باللهجة الإماراتية,الجملة رقم 17 باللهجة السعودية,الجملة رقم 17 باللهجة اللبنانية,الجملة رقم 17 باللهجة المغربية
18,الجملة رقم 18 باللغة العربية الفصحى,الجملة رقم 18 باللهجة المصرية,الجملة رقم 18 باللهجة الإماراتية,الجملة رقم 18 باللهجة السعودية,الجملة رقم 18 باللهجة اللبنانية,الجملة رقم 18 باللهجة المغربية
19,الجملة رقم 19 باللغة العربية الفصحى,الجملة رقم 19 باللهجة المصرية,الجملة رقم 19 باللهجة الإماراتية,الجملة رقم 19 باللهجة السعودية,الجملة رقم 19 باللهجة اللبنانية,الجملة رقم 19 باللهجة المغربية
20,الجملة رقم 20 باللغة العربية الفصحى,الجملة رقم 20 باللهجة المصرية,الجملة رقم 20 باللهجة الإماراتية,الجملة رقم 20 باللهجة السعودية,الجملة رقم 20 باللهجة اللبنانية,الجملة رقم 20 باللهجة المغربية
21,الجملة رقم 21 باللغة العربية الفصحى,الجملة رقم 21 باللهجة المصرية,الجملة رقم 21 باللهجة الإماراتية,الجملة رقم 21 باللهجة السعودية,الجملة رقم 21 باللهجة اللبنانية,الجملة رقم 21 باللهجة المغربية
22,الجملة رقم 22 باللغة العربية الفصحى,الجملة رقم 22 باللهجة المصرية,الجملة رقم 22 باللهجة الإماراتية,الجملة رقم 22 باللهجة السعودية,الجملة رقم 22 باللهجة اللبنانية,الجملة رقم 22 باللهجة المغربية
23,الجملة رقم 23 باللغة العربية الفصحى,الجملة رقم 23 باللهجة المصرية,الجملة رقم 23 باللهجة الإماراتية,الجملة رقم 23 باللهجة السعودية,الجملة رقم 23 باللهجة اللبنانية,الجملة رقم 23 باللهجة المغربية
24,الجملة رقم 24 باللغة العربية الفصحى,الجملة رقم 24 باللهجة المصرية,الجملة رقم 24 باللهجة الإماراتية,الجملة رقم 24 باللهجة السعودية,الجملة رقم 24 باللهجة اللبنانية,الجملة رقم 24 باللهجة المغربية
25,الجملة رقم 25 باللغة العربية الفصحى,الجملة رقم 25 باللهجة المصرية,الجملة رقم 25 باللهجة الإماراتية,الجملة رقم 25 باللهجة السعودية,الجملة رقم 25 باللهجة اللبنانية,الجملة رقم 25 باللهجة المغربية
26,الجملة رقم 26 باللغة العربية الفصحى,الجملة رقم 26 باللهجة المصرية,الجملة رقم 26 باللهجة الإماراتية,الجملة رقم 26 باللهجة السعودية,الجملة رقم 26 باللهجة اللبنانية,الجملة رقم 26 باللهجة المغربية
27,الجملة رقم 27 باللغة العربية الفصحى,الجملة رقم 27 باللهجة المصرية,الجملة رقم 27 باللهجة الإماراتية,الجملة رقم 27 باللهجة السعودية,الجملة رقم 27 باللهجة اللبنانية,الجملة رقم 27 باللهجة المغربية
28,الجملة رقم 28 باللغة العربية الفصحى,الجملة رقم 28 باللهجة المصرية,الجملة رقم 28 باللهجة الإماراتية,الجملة رقم 28 باللهجة السعودية,الجملة رقم 28 باللهجة اللبنانية,الجملة رقم 28 باللهجة المغربية
29,الجملة رقم 29 باللغة العربية الفصحى,الجملة رقم 29 باللهجة المصرية,الجملة رقم 29 باللهجة الإماراتية,الجملة رقم 29 باللهجة السعودية,الجملة رقم 29 باللهجة اللبنانية,الجملة رقم 29 باللهجة المغربية
30,الجملة رقم 30 باللغة العربية الفصحى,الجملة رقم 30 باللهجة المصرية,الجملة رقم 30 باللهجة الإماراتية,الجملة رقم 30 باللهجة السعودية,الجملة رقم 30 باللهجة اللبنانية,الجملة رقم 30 باللهجة المغربية
31,الجملة رقم 31 باللغة العربية الفصحى,الجملة رقم 31 باللهجة المصرية,الجملة رقم 31 باللهجة الإماراتية,الجملة رقم 31 باللهجة السعودية,الجملة رقم 31 باللهجة اللبنانية,الجملة رقم 31 باللهجة المغربية
32,الجملة رقم 32 باللغة العربية الفصحى,الجملة رقم 32 باللهجة المصرية,الجملة رقم 32 باللهجة الإماراتية,الجملة رقم 32 باللهجة السعودية,الجملة رقم 32 باللهجة اللبنانية,الجملة رقم 32 باللهجة المغربية
33,الجملة رقم 33 باللغة العربية الفصحى,الجملة رقم 33 باللهجة المصرية,الجملة رقم 33 باللهجة الإماراتية,الجملة رقم 33 باللهجة السعودية,الجملة رقم 33 باللهجة اللبنانية,الجملة رقم 33 باللهجة المغربية
34,الجملة رقم 34 باللغة العربية الفصحى,الجملة رقم 34 باللهجة المصرية,الجملة رقم 34 باللهجة الإماراتية,الجملة رقم 34 باللهجة السعودية,الجملة رقم 34 باللهجة اللبنانية,الجملة رقم 34 باللهجة المغربية
35,الجملة رقم 35 باللغة العربية الفصحى,الجملة رقم 35 باللهجة المصرية,الجملة رقم 35 باللهجة الإماراتية,الجملة رقم 35 باللهجة السعودية,الجملة رقم 35 باللهجة اللبنانية,الجملة رقم 35 باللهجة المغربية
36,الجملة رقم 36 باللغة العربية الفصحى,الجملة رقم 36 باللهجة المصرية,الجملة رقم 36 باللهجة الإماراتية,الجملة رقم 36 باللهجة السعودية,الجملة رقم 36 باللهجة اللبنانية,الجملة رقم 36 باللهجة المغربية
37,الجملة رقم 37 باللغة العربية الفصحى,الجملة رقم 37 باللهجة المصرية,الجملة رقم 37 باللهجة الإماراتية,الجملة رقم 37 باللهجة السعودية,الجملة رقم 37 باللهجة اللبنانية,الجملة رقم 37 باللهجة المغربية
38,الجملة رقم 38 باللغة العربية الفصحى,الجملة رقم 38 باللهجة المصرية,الجملة رقم 38 باللهجة الإماراتية,الجملة رقم 38 باللهجة السعودية,الجملة رقم 38 باللهجة اللبنانية,الجملة رقم 38 باللهجة المغربية
39,الجملة رقم 39 باللغة العربية الفصحى,الجملة رقم 39 باللهجة المصرية,الجملة رقم 39 باللهجة الإماراتية,الجملة رقم 39 باللهجة السعودية,الجملة رقم 39 باللهجة اللبنانية,الجملة رقم 39 باللهجة المغربية
40,الجملة رقم 40 باللغة العربية الفصحى,الجملة رقم 40 باللهجة المصرية,الجملة رقم 40 باللهجة الإماراتية,الجملة رقم 40 باللهجة السعودية,الجملة رقم 40 باللهجة اللبنانية,الجملة رقم 40 باللهجة المغربية
41,الجملة رقم 41 باللغة العربية الفصحى,الجملة رقم 41 باللهجة المصرية,الجملة رقم 41 باللهجة الإماراتية,الجملة رقم 41 باللهجة السعودية,الجملة رقم 41 باللهجة اللبنانية,الجملة رقم 41 باللهجة المغربية
42,الجملة رقم 42 باللغة العربية الفصحى,الجملة رقم 42 باللهجة المصرية,الجملة رقم 42 باللهجة الإماراتية,الجملة رقم 42 باللهجة السعودية,الجملة رقم 42 باللهجة اللبنانية,الجملة رقم 42 باللهجة المغربية
43,الجملة رقم 43 باللغة العربية الفصحى,الجملة رقم 43 باللهجة المصرية,الجملة رقم 43 باللهجة الإماراتية,الجملة رقم 43 باللهجة السعودية,الجملة رقم 43 باللهجة اللبنانية,الجملة رقم 43 باللهجة المغربية
44,الجملة رقم 44 باللغة العربية الفصحى,الجملة رقم 44 باللهجة المصرية,الجملة رقم 44 باللهجة الإماراتية,الجملة رقم 44 باللهجة السعودية,الجملة رقم 44 باللهجة اللبنانية,الجملة رقم 44 باللهجة المغربية
45,الجملة رقم 45 باللغة العربية الفصحى,الجملة رقم 45 باللهجة المصرية,الجملة رقم 45 باللهجة الإماراتية,الجملة رقم 45 باللهجة السعودية,الجملة رقم 45 باللهجة اللبنانية,الجملة رقم 45 باللهجة المغربية
46,الجملة رقم 46 باللغة العربية الفصحى,الجملة رقم 46 باللهجة المصرية,الجملة رقم 46 باللهجة الإماراتية,الجملة رقم 46 باللهجة السعودية,الجملة رقم 46 باللهجة اللبنانية,الجملة رقم 46 باللهجة المغربية
47,الجملة رقم 47 باللغة العربية الفصحى,الجملة رقم 47 باللهجة المصرية,الجملة رقم 47 باللهجة الإماراتية,الجملة رقم 47 باللهجة السعودية,الجملة رقم 47 باللهجة اللبنانية,الجملة رقم 47 باللهجة المغربية
48,الجملة رقم 48 باللغة العربية الفصحى,الجملة رقم 48 باللهجة المصرية,الجملة رقم 48 باللهجة الإماراتية,الجملة رقم 48 باللهجة السعودية,الجملة رقم 48 باللهجة اللبنانية,الجملة رقم 48 باللهجة المغربية
49,الجملة رقم 49 باللغة العربية الفصحى,الجملة رقم 49 باللهجة المصرية,الجملة رقم 49 باللهجة الإماراتية,الجملة رقم 49 باللهجة السعودية,الجملة رقم 49 باللهجة اللبنانية,الجملة رقم 49 باللهجة المغربية
50,الجملة رقم 50 باللغة العربية الفصحى,الجملة رقم 50 باللهجة المصرية,الجملة رقم 50 باللهجة الإماراتية,الجملة رقم 50 باللهجة السعودية,الجملة رقم 50 باللهجة اللبنانية,الجملة رقم 50 باللهجة المغربية
51,الجملة رقم 51 باللغة العربية الفصحى,الجملة رقم 51 باللهجة المصرية,الجملة رقم 51 باللهجة الإماراتية,الجملة رقم 51 باللهجة السعودية,الجملة رقم 51 باللهجة اللبنانية,الجملة رقم 51 باللهجة المغربية
52,الجملة رقم 52 باللغة العربية الفصحى,الجملة رقم 52 باللهجة المصرية,الجملة رقم 52 باللهجة الإماراتية,الجملة رقم 52 باللهجة السعودية,الجملة رقم 52 باللهجة اللبنانية,الجملة رقم 52 باللهجة المغربية
53,الجملة رقم 53 باللغة العربية الفصحى,الجملة رقم 53 باللهجة المصرية,الجملة رقم 53 باللهجة الإماراتية,الجملة رقم 53 باللهجة السعودية,الجملة رقم 53 باللهجة اللبنانية,الجملة رقم 53 باللهجة المغربية
54,الجملة رقم 54 باللغة العربية الفصحى,الجملة رقم 54 باللهجة المصرية,الجملة رقم 54 باللهجة الإماراتية,الجملة رقم 54 باللهجة السعودية,الجملة رقم 54 باللهجة اللبنانية,الجملة رقم 54 باللهجة المغربية
55,الجملة رقم 55 باللغة العربية الفصحى,الجملة رقم 55 باللهجة المصرية,الجملة رقم 55 باللهجة الإماراتية,الجملة رقم 55 باللهجة السعودية,الجملة رقم 55 باللهجة اللبنانية,الجملة رقم 55 باللهجة المغربية
56,الجملة رقم 56 باللغة العربية الفصحى,الجملة رقم 56 باللهجة المصرية,الجملة رقم 56 باللهجة الإماراتية,الجملة رقم 56 باللهجة السعودية,الجملة رقم 56 باللهجة اللبنانية,الجملة رقم 56 باللهجة المغربية
57,الجملة رقم 57 باللغة العربية الفصحى,الجملة رقم 57 باللهجة المصرية,الجملة رقم 57 باللهجة الإماراتية,الجملة رقم 57 باللهجة السعودية,الجملة رقم 57 باللهجة اللبنانية,الجملة رقم 57 باللهجة المغربية
58,الجملة رقم 58 باللغة العربية الفصحى,الجملة رقم 58 باللهجة المصرية,الجملة رقم 58 باللهجة الإماراتية,الجملة رقم 58 باللهجة السعودية,الجملة رقم 58 باللهجة اللبنانية,الجملة رقم 58 باللهجة المغربية
59,الجملة رقم 59 باللغة العربية الفصحى,الجملة رقم 59 باللهجة المصرية,الجملة رقم 59 باللهجة الإماراتية,الجملة رقم 59 باللهجة السعودية,الجملة رقم 59 باللهجة اللبنانية,الجملة رقم 59 باللهجة المغربية
60,الجملة رقم 60 باللغة العربية الفصحى,الجملة رقم 60 باللهجة المصرية,الجملة رقم 60 باللهجة الإماراتية,الجملة رقم 60 باللهجة السعودية,الجملة رقم 60 باللهجة اللبنانية,الجملة رقم 60 باللهجة المغربية
61,الجملة رقم 61 باللغة العربية الفصحى,الجملة رقم 61 باللهجة المصرية,الجملة رقم 61 باللهجة الإماراتية,الجملة رقم 61 باللهجة السعودية,الجملة رقم 61 باللهجة اللبنانية,الجملة رقم 61 باللهجة المغربية
62,الجملة رقم 62 باللغة العربية الفصحى,الجملة رقم 62 باللهجة المصرية,الجملة رقم 62 باللهجة الإماراتية,الجملة رقم 62 باللهجة السعودية,الجملة رقم 62 باللهجة اللبنانية,الجملة رقم 62 باللهجة المغربية
63,الجملة رقم 63 باللغة العربية الفصحى,الجملة رقم 63 باللهجة المصرية,الجملة رقم 63 باللهجة الإماراتية,الجملة رقم 63 باللهجة السعودية,الجملة رقم 63 باللهجة اللبنانية,الجملة رقم 63 باللهجة المغربية
64,الجملة رقم 64 باللغة العربية الفصحى,الجملة رقم 64 باللهجة المصرية,الجملة رقم 64 باللهجة الإماراتية,الجملة رقم 64 باللهجة السعودية,الجملة رقم 64 باللهجة اللبنانية,الجملة رقم 64 باللهجة المغربية
65,الجملة رقم 65 باللغة العربية الفصحى,الجملة رقم 65 باللهجة المصرية,الجملة رقم 65 باللهجة الإماراتية,الجملة رقم 65 باللهجة السعودية,الجملة رقم 65 باللهجة اللبنانية,الجملة رقم 65 باللهجة المغربية
66,الجملة رقم 66 باللغة العربية الفصحى,الجملة رقم 66 باللهجة المصرية,الجملة رقم 66 باللهجة الإماراتية,الجملة رقم 66 باللهجة السعودية,الجملة رقم 66 باللهجة اللبنانية,الجملة رقم 66 باللهجة المغربية
67,الجملة رقم 67 باللغة العربية الفصحى,الجملة رقم 67 باللهجة المصرية,الجملة رقم 67 باللهجة الإماراتية,الجملة رقم 67 باللهجة السعودية,الجملة رقم 67 باللهجة اللبنانية,الجملة رقم 67 باللهجة المغربية
68,الجملة رقم 68 باللغة العربية الفصحى,الجملة رقم 68 باللهجة المصرية,الجملة رقم 68 باللهجة الإماراتية,الجملة رقم 68 باللهجة السعودية,الجملة رقم 68 باللهجة اللبنانية,الجملة رقم 68 باللهجة المغربية
69,الجملة رقم 69 باللغة العربية الفصحى,الجملة رقم 69 باللهجة المصرية,الجملة رقم 69 باللهجة الإماراتية,الجملة رقم 69 باللهجة السعودية,الجملة رقم 69 باللهجة اللبنانية,الجملة رقم 69 باللهجة المغربية
